procs, 1, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    97.72, secs, 15.35
procs, 2, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    38.32, secs, 39.14
procs, 3, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    35.47, secs, 42.29
procs, 4, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    32.31, secs, 46.43
procs, 8, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    27.33, secs, 54.89
procs, 1, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    73.21, secs, 20.49
procs, 2, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    57.96, secs, 25.88
procs, 3, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    57.96, secs, 25.88
procs, 4, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    54.95, secs, 27.3
procs, 8, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    53.63, secs, 27.97
procs, 1, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    79.51, secs, 18.11
procs, 2, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    79.65, secs, 18.08
procs, 3, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    80.31, secs, 17.93
procs, 4, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    84.61, secs, 17.02
procs, 8, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    85.06, secs, 16.93
procs, 1, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    72.71, secs, 20.63
procs, 2, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    102.5, secs, 14.63
procs, 3, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      117, secs, 12.82
procs, 4, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    125.3, secs, 11.97
procs, 8, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    142.6, secs, 10.52
