procs, 1, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      82, secs, 18.25
procs, 2, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      36, secs, 42.18
procs, 3, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      33, secs, 46.07
procs, 4, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      30, secs, 49.52
procs, 8, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      26, secs, 57.11
procs, 1, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      48, secs, 31.07
procs, 2, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      42, secs, 35.6
procs, 3, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      45, secs, 32.97
procs, 4, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      47, secs, 31.58
procs, 8, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      43, secs, 35.05
procs, 1, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      54, secs, 26.78
procs, 2, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      52, secs, 27.93
procs, 3, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      58, secs, 25.01
procs, 4, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      60, secs, 23.83
procs, 8, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      66, secs, 21.75
procs, 1, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      45, secs, 33.46
procs, 2, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      57, secs, 26.21
procs, 3, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      67, secs, 22.37
procs, 4, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      75, secs, 20.13
procs, 8, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      87, secs, 17.17
