procs, 1, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    98.94, secs, 15.16
procs, 2, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    37.93, secs, 39.55
procs, 3, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    34.99, secs, 42.87
procs, 4, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    31.46, secs, 47.68
procs, 8, units, 50, cons, 12500, MCons, 1500, Mcon/sec,    27.41, secs, 54.73
procs, 1, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    104.5, secs, 14.35
procs, 2, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    64.32, secs, 23.32
procs, 3, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    62.19, secs, 24.12
procs, 4, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    59.67, secs, 25.14
procs, 8, units, 100, cons, 50000, MCons, 1500, Mcon/sec,    54.68, secs, 27.43
procs, 1, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    111.9, secs, 12.87
procs, 2, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    96.13, secs, 14.98
procs, 3, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    97.89, secs, 14.71
procs, 4, units, 200, cons, 200000, MCons, 1440, Mcon/sec,    94.86, secs, 15.18
procs, 8, units, 200, cons, 200000, MCons, 1440, Mcon/sec,     91.9, secs, 15.67
procs, 1, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    107.3, secs, 13.98
procs, 2, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    126.3, secs, 11.88
procs, 3, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    137.4, secs, 10.92
procs, 4, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    142.9, secs, 10.5
procs, 8, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,    155.3, secs, 9.66
