procs, 1, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      87, secs, 17.18
procs, 2, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      36, secs, 41.97
procs, 3, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      33, secs, 45.88
procs, 4, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      28, secs, 53.37
procs, 8, units, 50, cons, 12500, MCons, 1500, Mcon/sec,      26, secs, 58.78
procs, 1, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      74, secs, 20.19
procs, 2, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      51, secs, 29.61
procs, 3, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      52, secs, 29.06
procs, 4, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      51, secs, 29.19
procs, 8, units, 100, cons, 50000, MCons, 1500, Mcon/sec,      49, secs, 30.59
procs, 1, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      79, secs, 18.24
procs, 2, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      69, secs, 20.88
procs, 3, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      73, secs, 19.78
procs, 4, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      75, secs, 19.25
procs, 8, units, 200, cons, 200000, MCons, 1440, Mcon/sec,      77, secs, 18.65
procs, 1, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      57, secs, 26.5
procs, 2, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      77, secs, 19.43
procs, 3, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      84, secs, 17.96
procs, 4, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      88, secs, 16.99
procs, 8, units, 500, cons, 1.25e+06, MCons, 1500, Mcon/sec,      97, secs, 15.49
