procs, 1,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 25.06,    Mcon/sec, 79.8085
procs, 2,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 27.79,    Mcon/sec, 71.9683
procs, 4,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 33.58,    Mcon/sec, 59.5593
procs, 8,       units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 54.73,    Mcon/sec, 36.543
procs, 16,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 104.8,    Mcon/sec, 19.084
procs, 25,      units, 50,      weights, 5000,  cycles, 400000,         con_trav, 2e+09,        secs, 162.02,   Mcon/sec, 12.3442
procs, 1,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 24.27,    Mcon/sec, 82.4063
procs, 2,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 17.97,    Mcon/sec, 111.297
procs, 4,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 15.16,    Mcon/sec, 131.926
procs, 8,       units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 18.04,    Mcon/sec, 110.865
procs, 16,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 28.7,     Mcon/sec, 69.6864
procs, 25,      units, 100,     weights, 20000,         cycles, 100000,         con_trav, 2e+09,        secs, 42.52,    Mcon/sec, 47.0367
procs, 1,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 26.2,     Mcon/sec, 76.3359
procs, 2,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 14.09,    Mcon/sec, 141.945
procs, 4,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 7.83,     Mcon/sec, 255.428
procs, 8,       units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 4.87,     Mcon/sec, 410.678
procs, 16,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 3.46,     Mcon/sec, 578.035
procs, 25,      units, 500,     weights, 500000,        cycles, 4000,   con_trav, 2e+09,        secs, 3.28,     Mcon/sec, 609.756
procs, 1,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 25.54,    Mcon/sec, 78.3085
procs, 2,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 13.3,     Mcon/sec, 150.376
procs, 4,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 7.08,     Mcon/sec, 282.486
procs, 8,       units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 4.02,     Mcon/sec, 497.512
procs, 16,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 2.42,     Mcon/sec, 826.446
procs, 25,      units, 1000,    weights, 2e+06,         cycles, 1000,   con_trav, 2e+09,        secs, 1.95,     Mcon/sec, 1025.64
procs, 1,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 26.5,     Mcon/sec, 75.4717
procs, 2,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 13.55,    Mcon/sec, 147.601
procs, 4,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 6.84,     Mcon/sec, 292.398
procs, 8,       units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 3.51,     Mcon/sec, 569.801
procs, 16,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.87,     Mcon/sec, 1069.52
procs, 25,      units, 5000,    weights, 5e+07,         cycles, 40,     con_trav, 2e+09,        secs, 1.29,     Mcon/sec, 1550.39
