procs, 1, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 0.05, 	mpisecs, 0.043895, 	Mcon/sec, 640
procs, 1, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 0.05, 	mpisecs, 0.0500059, 	Mcon/sec, 1000
procs, 1, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 0.05, 	mpisecs, 0.0475068, 	Mcon/sec, 1440
procs, 1, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 0.05, 	mpisecs, 0.049643, 	Mcon/sec, 1960
procs, 1, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 0.05, 	mpisecs, 0.054812, 	Mcon/sec, 2560
procs, 1, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 0.06, 	mpisecs, 0.0602882, 	Mcon/sec, 2700
procs, 1, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 0.06, 	mpisecs, 0.0611639, 	Mcon/sec, 3333.33
procs, 1, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 0.07, 	mpisecs, 0.0705709, 	Mcon/sec, 3457.14
procs, 1, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 0.07, 	mpisecs, 0.0680392, 	Mcon/sec, 4114.29
procs, 1, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 0.07, 	mpisecs, 0.0680571, 	Mcon/sec, 4828.57
procs, 1, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 0.07, 	mpisecs, 0.0738969, 	Mcon/sec, 5600
procs, 1, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 0.08, 	mpisecs, 0.076462, 	Mcon/sec, 5625
procs, 1, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 0.07, 	mpisecs, 0.0783892, 	Mcon/sec, 7314.29
procs, 1, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 0.08, 	mpisecs, 0.0818651, 	Mcon/sec, 7225
procs, 1, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 0.08, 	mpisecs, 0.083148, 	Mcon/sec, 8100
procs, 1, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 0.08, 	mpisecs, 0.085422, 	Mcon/sec, 9025
procs, 1, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 0.09, 	mpisecs, 0.0901501, 	Mcon/sec, 8888.89
procs, 1, 	units, 105, 	weights, 22050, 	cycles, 40000, 	con_trav, 8.82e+08, 	secs, 0.09, 	mpisecs, 0.0919299, 	Mcon/sec, 9800
procs, 1, 	units, 110, 	weights, 24200, 	cycles, 40000, 	con_trav, 9.68e+08, 	secs, 0.1, 	mpisecs, 0.0944779, 	Mcon/sec, 9680
procs, 1, 	units, 115, 	weights, 26450, 	cycles, 40000, 	con_trav, 1.058e+09, 	secs, 0.1, 	mpisecs, 0.0975101, 	Mcon/sec, 10580
procs, 1, 	units, 120, 	weights, 28800, 	cycles, 40000, 	con_trav, 1.152e+09, 	secs, 0.1, 	mpisecs, 0.101446, 	Mcon/sec, 11520
procs, 1, 	units, 125, 	weights, 31250, 	cycles, 40000, 	con_trav, 1.25e+09, 	secs, 0.1, 	mpisecs, 0.100564, 	Mcon/sec, 12500
procs, 1, 	units, 130, 	weights, 33800, 	cycles, 40000, 	con_trav, 1.352e+09, 	secs, 0.11, 	mpisecs, 0.106173, 	Mcon/sec, 12290.9
procs, 1, 	units, 135, 	weights, 36450, 	cycles, 40000, 	con_trav, 1.458e+09, 	secs, 0.11, 	mpisecs, 0.107885, 	Mcon/sec, 13254.5
procs, 1, 	units, 140, 	weights, 39200, 	cycles, 40000, 	con_trav, 1.568e+09, 	secs, 0.11, 	mpisecs, 0.11189, 	Mcon/sec, 14254.5
procs, 1, 	units, 145, 	weights, 42050, 	cycles, 40000, 	con_trav, 1.682e+09, 	secs, 0.11, 	mpisecs, 0.113604, 	Mcon/sec, 15290.9
procs, 1, 	units, 150, 	weights, 45000, 	cycles, 40000, 	con_trav, 1.8e+09, 	secs, 0.12, 	mpisecs, 0.11843, 	Mcon/sec, 15000
procs, 1, 	units, 155, 	weights, 48050, 	cycles, 40000, 	con_trav, 1.922e+09, 	secs, 0.11, 	mpisecs, 0.11929, 	Mcon/sec, 17472.7
procs, 1, 	units, 160, 	weights, 51200, 	cycles, 40000, 	con_trav, 2.048e+09, 	secs, 0.12, 	mpisecs, 0.125286, 	Mcon/sec, 17066.7
procs, 1, 	units, 165, 	weights, 54450, 	cycles, 40000, 	con_trav, 2.178e+09, 	secs, 0.13, 	mpisecs, 0.126636, 	Mcon/sec, 16753.8
procs, 1, 	units, 170, 	weights, 57800, 	cycles, 40000, 	con_trav, 2.312e+09, 	secs, 0.14, 	mpisecs, 0.138716, 	Mcon/sec, 16514.3
procs, 1, 	units, 175, 	weights, 61250, 	cycles, 40000, 	con_trav, 2.45e+09, 	secs, 0.13, 	mpisecs, 0.129576, 	Mcon/sec, 18846.2
procs, 1, 	units, 180, 	weights, 64800, 	cycles, 40000, 	con_trav, 2.592e+09, 	secs, 0.13, 	mpisecs, 0.13442, 	Mcon/sec, 19938.5
procs, 1, 	units, 185, 	weights, 68450, 	cycles, 40000, 	con_trav, 2.738e+09, 	secs, 0.14, 	mpisecs, 0.142852, 	Mcon/sec, 19557.1
procs, 1, 	units, 190, 	weights, 72200, 	cycles, 40000, 	con_trav, 2.888e+09, 	secs, 0.14, 	mpisecs, 0.146201, 	Mcon/sec, 20628.6
procs, 1, 	units, 195, 	weights, 76050, 	cycles, 40000, 	con_trav, 3.042e+09, 	secs, 0.14, 	mpisecs, 0.142098, 	Mcon/sec, 21728.6
procs, 1, 	units, 200, 	weights, 80000, 	cycles, 40000, 	con_trav, 3.2e+09, 	secs, 0.15, 	mpisecs, 0.145478, 	Mcon/sec, 21333.3
procs, 1, 	units, 205, 	weights, 84050, 	cycles, 40000, 	con_trav, 3.362e+09, 	secs, 0.16, 	mpisecs, 0.152145, 	Mcon/sec, 21012.5
procs, 1, 	units, 210, 	weights, 88200, 	cycles, 40000, 	con_trav, 3.528e+09, 	secs, 0.15, 	mpisecs, 0.151685, 	Mcon/sec, 23520
procs, 1, 	units, 215, 	weights, 92450, 	cycles, 40000, 	con_trav, 3.698e+09, 	secs, 0.15, 	mpisecs, 0.153036, 	Mcon/sec, 24653.3
procs, 1, 	units, 220, 	weights, 96800, 	cycles, 40000, 	con_trav, 3.872e+09, 	secs, 0.15, 	mpisecs, 0.157626, 	Mcon/sec, 25813.3
procs, 1, 	units, 225, 	weights, 101250, 	cycles, 40000, 	con_trav, 4.05e+09, 	secs, 0.16, 	mpisecs, 0.159453, 	Mcon/sec, 25312.5
procs, 1, 	units, 230, 	weights, 105800, 	cycles, 40000, 	con_trav, 4.232e+09, 	secs, 0.17, 	mpisecs, 0.168575, 	Mcon/sec, 24894.1
procs, 1, 	units, 235, 	weights, 110450, 	cycles, 40000, 	con_trav, 4.418e+09, 	secs, 0.17, 	mpisecs, 0.166553, 	Mcon/sec, 25988.2
procs, 1, 	units, 240, 	weights, 115200, 	cycles, 40000, 	con_trav, 4.608e+09, 	secs, 0.16, 	mpisecs, 0.167649, 	Mcon/sec, 28800
procs, 1, 	units, 245, 	weights, 120050, 	cycles, 40000, 	con_trav, 4.802e+09, 	secs, 0.17, 	mpisecs, 0.169136, 	Mcon/sec, 28247.1
procs, 1, 	units, 250, 	weights, 125000, 	cycles, 40000, 	con_trav, 5e+09, 	secs, 0.18, 	mpisecs, 0.184832, 	Mcon/sec, 27777.8
procs, 1, 	units, 255, 	weights, 130050, 	cycles, 40000, 	con_trav, 5.202e+09, 	secs, 0.18, 	mpisecs, 0.177507, 	Mcon/sec, 28900
procs, 1, 	units, 260, 	weights, 135200, 	cycles, 40000, 	con_trav, 5.408e+09, 	secs, 0.18, 	mpisecs, 0.178535, 	Mcon/sec, 30044.4
procs, 1, 	units, 265, 	weights, 140450, 	cycles, 40000, 	con_trav, 5.618e+09, 	secs, 0.19, 	mpisecs, 0.187505, 	Mcon/sec, 29568.4
procs, 1, 	units, 270, 	weights, 145800, 	cycles, 40000, 	con_trav, 5.832e+09, 	secs, 0.18, 	mpisecs, 0.189042, 	Mcon/sec, 32400
procs, 1, 	units, 275, 	weights, 151250, 	cycles, 40000, 	con_trav, 6.05e+09, 	secs, 0.19, 	mpisecs, 0.187293, 	Mcon/sec, 31842.1
procs, 1, 	units, 280, 	weights, 156800, 	cycles, 40000, 	con_trav, 6.272e+09, 	secs, 0.19, 	mpisecs, 0.19353, 	Mcon/sec, 33010.5
procs, 1, 	units, 285, 	weights, 162450, 	cycles, 40000, 	con_trav, 6.498e+09, 	secs, 0.19, 	mpisecs, 0.192012, 	Mcon/sec, 34200
