procs, 8, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 2.37, 	mpisecs, 2.37206, 	Mcon/sec, 13.5021
procs, 8, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 2.49, 	mpisecs, 2.49769, 	Mcon/sec, 20.0803
procs, 8, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 2.51, 	mpisecs, 2.5027, 	Mcon/sec, 28.6853
procs, 8, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 2.53, 	mpisecs, 2.52787, 	Mcon/sec, 38.7352
procs, 8, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 2.53, 	mpisecs, 2.52655, 	Mcon/sec, 50.5929
procs, 8, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 2.5, 	mpisecs, 2.50124, 	Mcon/sec, 64.8
procs, 8, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 2.69, 	mpisecs, 2.69002, 	Mcon/sec, 74.3494
procs, 8, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 2.71, 	mpisecs, 2.7074, 	Mcon/sec, 89.2989
procs, 8, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 2.72, 	mpisecs, 2.71522, 	Mcon/sec, 105.882
procs, 8, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 2.72, 	mpisecs, 2.72887, 	Mcon/sec, 124.265
procs, 8, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 2.73, 	mpisecs, 2.73887, 	Mcon/sec, 143.59
procs, 8, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 2.76, 	mpisecs, 2.76262, 	Mcon/sec, 163.043
procs, 8, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 2.76, 	mpisecs, 2.7558, 	Mcon/sec, 185.507
procs, 8, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 2.76, 	mpisecs, 2.76149, 	Mcon/sec, 209.42
procs, 8, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 2.77, 	mpisecs, 2.76862, 	Mcon/sec, 233.935
procs, 8, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 2.79, 	mpisecs, 2.78905, 	Mcon/sec, 258.781
procs, 8, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 3.01, 	mpisecs, 3.01388, 	Mcon/sec, 265.781
procs, 8, 	units, 105, 	weights, 22050, 	cycles, 40000, 	con_trav, 8.82e+08, 	secs, 3.01, 	mpisecs, 3.00613, 	Mcon/sec, 293.023
procs, 8, 	units, 110, 	weights, 24200, 	cycles, 40000, 	con_trav, 9.68e+08, 	secs, 3.03, 	mpisecs, 3.0232, 	Mcon/sec, 319.472
procs, 8, 	units, 115, 	weights, 26450, 	cycles, 40000, 	con_trav, 1.058e+09, 	secs, 3.12, 	mpisecs, 3.11956, 	Mcon/sec, 339.103
procs, 8, 	units, 120, 	weights, 28800, 	cycles, 40000, 	con_trav, 1.152e+09, 	secs, 3.11, 	mpisecs, 3.10573, 	Mcon/sec, 370.418
procs, 8, 	units, 125, 	weights, 31250, 	cycles, 40000, 	con_trav, 1.25e+09, 	secs, 3.12, 	mpisecs, 3.12289, 	Mcon/sec, 400.641
procs, 8, 	units, 130, 	weights, 33800, 	cycles, 40000, 	con_trav, 1.352e+09, 	secs, 3.15, 	mpisecs, 3.14991, 	Mcon/sec, 429.206
procs, 8, 	units, 135, 	weights, 36450, 	cycles, 40000, 	con_trav, 1.458e+09, 	secs, 3.15, 	mpisecs, 3.15433, 	Mcon/sec, 462.857
procs, 8, 	units, 140, 	weights, 39200, 	cycles, 40000, 	con_trav, 1.568e+09, 	secs, 3.16, 	mpisecs, 3.15908, 	Mcon/sec, 496.203
procs, 8, 	units, 145, 	weights, 42050, 	cycles, 40000, 	con_trav, 1.682e+09, 	secs, 3.19, 	mpisecs, 3.18648, 	Mcon/sec, 527.273
procs, 8, 	units, 150, 	weights, 45000, 	cycles, 40000, 	con_trav, 1.8e+09, 	secs, 3.2, 	mpisecs, 3.20038, 	Mcon/sec, 562.5
procs, 8, 	units, 155, 	weights, 48050, 	cycles, 40000, 	con_trav, 1.922e+09, 	secs, 3.17, 	mpisecs, 3.17295, 	Mcon/sec, 606.309
procs, 8, 	units, 160, 	weights, 51200, 	cycles, 40000, 	con_trav, 2.048e+09, 	secs, 3.19, 	mpisecs, 3.18782, 	Mcon/sec, 642.006
procs, 8, 	units, 165, 	weights, 54450, 	cycles, 40000, 	con_trav, 2.178e+09, 	secs, 3.21, 	mpisecs, 3.21104, 	Mcon/sec, 678.505
procs, 8, 	units, 170, 	weights, 57800, 	cycles, 40000, 	con_trav, 2.312e+09, 	secs, 3.21, 	mpisecs, 3.21218, 	Mcon/sec, 720.249
procs, 8, 	units, 175, 	weights, 61250, 	cycles, 40000, 	con_trav, 2.45e+09, 	secs, 3.22, 	mpisecs, 3.2229, 	Mcon/sec, 760.87
procs, 8, 	units, 180, 	weights, 64800, 	cycles, 40000, 	con_trav, 2.592e+09, 	secs, 3.26, 	mpisecs, 3.25477, 	Mcon/sec, 795.092
procs, 8, 	units, 185, 	weights, 68450, 	cycles, 40000, 	con_trav, 2.738e+09, 	secs, 3.26, 	mpisecs, 3.25648, 	Mcon/sec, 839.877
procs, 8, 	units, 190, 	weights, 72200, 	cycles, 40000, 	con_trav, 2.888e+09, 	secs, 3.25, 	mpisecs, 3.25588, 	Mcon/sec, 888.615
procs, 8, 	units, 195, 	weights, 76050, 	cycles, 40000, 	con_trav, 3.042e+09, 	secs, 3.28, 	mpisecs, 3.27902, 	Mcon/sec, 927.439
procs, 8, 	units, 200, 	weights, 80000, 	cycles, 40000, 	con_trav, 3.2e+09, 	secs, 3.29, 	mpisecs, 3.28427, 	Mcon/sec, 972.644
procs, 8, 	units, 205, 	weights, 84050, 	cycles, 40000, 	con_trav, 3.362e+09, 	secs, 3.29, 	mpisecs, 3.28678, 	Mcon/sec, 1021.88
procs, 8, 	units, 210, 	weights, 88200, 	cycles, 40000, 	con_trav, 3.528e+09, 	secs, 3.3, 	mpisecs, 3.29483, 	Mcon/sec, 1069.09
procs, 8, 	units, 215, 	weights, 92450, 	cycles, 40000, 	con_trav, 3.698e+09, 	secs, 3.31, 	mpisecs, 3.30736, 	Mcon/sec, 1117.22
procs, 8, 	units, 220, 	weights, 96800, 	cycles, 40000, 	con_trav, 3.872e+09, 	secs, 3.34, 	mpisecs, 3.33767, 	Mcon/sec, 1159.28
procs, 8, 	units, 225, 	weights, 101250, 	cycles, 40000, 	con_trav, 4.05e+09, 	secs, 3.4, 	mpisecs, 3.39492, 	Mcon/sec, 1191.18
procs, 8, 	units, 230, 	weights, 105800, 	cycles, 40000, 	con_trav, 4.232e+09, 	secs, 3.42, 	mpisecs, 3.41719, 	Mcon/sec, 1237.43
procs, 8, 	units, 235, 	weights, 110450, 	cycles, 40000, 	con_trav, 4.418e+09, 	secs, 3.44, 	mpisecs, 3.43765, 	Mcon/sec, 1284.3
procs, 8, 	units, 240, 	weights, 115200, 	cycles, 40000, 	con_trav, 4.608e+09, 	secs, 3.44, 	mpisecs, 3.44112, 	Mcon/sec, 1339.53
procs, 8, 	units, 245, 	weights, 120050, 	cycles, 40000, 	con_trav, 4.802e+09, 	secs, 3.49, 	mpisecs, 3.49041, 	Mcon/sec, 1375.93
procs, 8, 	units, 250, 	weights, 125000, 	cycles, 40000, 	con_trav, 5e+09, 	secs, 3.52, 	mpisecs, 3.5239, 	Mcon/sec, 1420.45
procs, 8, 	units, 255, 	weights, 130050, 	cycles, 40000, 	con_trav, 5.202e+09, 	secs, 3.52, 	mpisecs, 3.52014, 	Mcon/sec, 1477.84
procs, 8, 	units, 260, 	weights, 135200, 	cycles, 40000, 	con_trav, 5.408e+09, 	secs, 3.53, 	mpisecs, 3.52582, 	Mcon/sec, 1532.01
procs, 8, 	units, 265, 	weights, 140450, 	cycles, 40000, 	con_trav, 5.618e+09, 	secs, 3.56, 	mpisecs, 3.55791, 	Mcon/sec, 1578.09
procs, 8, 	units, 270, 	weights, 145800, 	cycles, 40000, 	con_trav, 5.832e+09, 	secs, 3.56, 	mpisecs, 3.55435, 	Mcon/sec, 1638.2
