procs, 1, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 0.5, 	mpisecs, 0.494025, 	Mcon/sec, 64
procs, 1, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 0.71, 	mpisecs, 0.70229, 	Mcon/sec, 70.4225
procs, 1, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 0.97, 	mpisecs, 0.967959, 	Mcon/sec, 74.2268
procs, 1, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 1.28, 	mpisecs, 1.27912, 	Mcon/sec, 76.5625
procs, 1, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 1.67, 	mpisecs, 1.67537, 	Mcon/sec, 76.6467
procs, 1, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 2.07, 	mpisecs, 2.07133, 	Mcon/sec, 78.2609
procs, 1, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 2.54, 	mpisecs, 2.54016, 	Mcon/sec, 78.7402
procs, 1, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 3.03, 	mpisecs, 3.02524, 	Mcon/sec, 79.868
procs, 1, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 3.54, 	mpisecs, 3.54638, 	Mcon/sec, 81.3559
procs, 1, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 4.19, 	mpisecs, 4.19541, 	Mcon/sec, 80.6683
procs, 1, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 4.9, 	mpisecs, 4.9017, 	Mcon/sec, 80
procs, 1, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 5.49, 	mpisecs, 5.4911, 	Mcon/sec, 81.9672
procs, 1, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 6.26, 	mpisecs, 6.25561, 	Mcon/sec, 81.7891
procs, 1, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 7.09, 	mpisecs, 7.09024, 	Mcon/sec, 81.5233
procs, 1, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 7.95, 	mpisecs, 7.95305, 	Mcon/sec, 81.5094
procs, 1, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 8.94, 	mpisecs, 8.93064, 	Mcon/sec, 80.7606
procs, 1, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 9.67, 	mpisecs, 9.66532, 	Mcon/sec, 82.7301
procs, 1, 	units, 105, 	weights, 22050, 	cycles, 40000, 	con_trav, 8.82e+08, 	secs, 10.94, 	mpisecs, 10.9334, 	Mcon/sec, 80.6216
procs, 1, 	units, 110, 	weights, 24200, 	cycles, 40000, 	con_trav, 9.68e+08, 	secs, 12.04, 	mpisecs, 12.0372, 	Mcon/sec, 80.3987
procs, 1, 	units, 115, 	weights, 26450, 	cycles, 40000, 	con_trav, 1.058e+09, 	secs, 13.07, 	mpisecs, 13.0622, 	Mcon/sec, 80.9487
procs, 1, 	units, 120, 	weights, 28800, 	cycles, 40000, 	con_trav, 1.152e+09, 	secs, 14.46, 	mpisecs, 14.4551, 	Mcon/sec, 79.668
procs, 1, 	units, 125, 	weights, 31250, 	cycles, 40000, 	con_trav, 1.25e+09, 	secs, 15.9, 	mpisecs, 15.8977, 	Mcon/sec, 78.6164
procs, 1, 	units, 130, 	weights, 33800, 	cycles, 40000, 	con_trav, 1.352e+09, 	secs, 17.09, 	mpisecs, 17.0888, 	Mcon/sec, 79.1106
procs, 1, 	units, 135, 	weights, 36450, 	cycles, 40000, 	con_trav, 1.458e+09, 	secs, 18.62, 	mpisecs, 18.618, 	Mcon/sec, 78.3029
procs, 1, 	units, 140, 	weights, 39200, 	cycles, 40000, 	con_trav, 1.568e+09, 	secs, 20.61, 	mpisecs, 20.6079, 	Mcon/sec, 76.0796
procs, 1, 	units, 145, 	weights, 42050, 	cycles, 40000, 	con_trav, 1.682e+09, 	secs, 21.95, 	mpisecs, 21.9539, 	Mcon/sec, 76.6287
procs, 1, 	units, 150, 	weights, 45000, 	cycles, 40000, 	con_trav, 1.8e+09, 	secs, 24.27, 	mpisecs, 24.2731, 	Mcon/sec, 74.1656
procs, 1, 	units, 155, 	weights, 48050, 	cycles, 40000, 	con_trav, 1.922e+09, 	secs, 26.2, 	mpisecs, 26.1934, 	Mcon/sec, 73.3588
procs, 1, 	units, 160, 	weights, 51200, 	cycles, 40000, 	con_trav, 2.048e+09, 	secs, 27.64, 	mpisecs, 27.6395, 	Mcon/sec, 74.0955
procs, 1, 	units, 165, 	weights, 54450, 	cycles, 40000, 	con_trav, 2.178e+09, 	secs, 29.38, 	mpisecs, 29.3796, 	Mcon/sec, 74.1321
procs, 1, 	units, 170, 	weights, 57800, 	cycles, 40000, 	con_trav, 2.312e+09, 	secs, 32.96, 	mpisecs, 32.9661, 	Mcon/sec, 70.1456
procs, 1, 	units, 175, 	weights, 61250, 	cycles, 40000, 	con_trav, 2.45e+09, 	secs, 33.87, 	mpisecs, 33.866, 	Mcon/sec, 72.3354
