procs, 16, 	units, 20, 	weights, 800, 	cycles, 40000, 	con_trav, 3.2e+07, 	secs, 3.52, 	mpisecs, 3.51925, 	Mcon/sec, 9.09091
procs, 16, 	units, 25, 	weights, 1250, 	cycles, 40000, 	con_trav, 5e+07, 	secs, 3.57, 	mpisecs, 3.57211, 	Mcon/sec, 14.0056
procs, 16, 	units, 30, 	weights, 1800, 	cycles, 40000, 	con_trav, 7.2e+07, 	secs, 3.65, 	mpisecs, 3.65251, 	Mcon/sec, 19.726
procs, 16, 	units, 35, 	weights, 2450, 	cycles, 40000, 	con_trav, 9.8e+07, 	secs, 3.76, 	mpisecs, 3.75568, 	Mcon/sec, 26.0638
procs, 16, 	units, 40, 	weights, 3200, 	cycles, 40000, 	con_trav, 1.28e+08, 	secs, 3.83, 	mpisecs, 3.83668, 	Mcon/sec, 33.4204
procs, 16, 	units, 45, 	weights, 4050, 	cycles, 40000, 	con_trav, 1.62e+08, 	secs, 3.92, 	mpisecs, 3.92255, 	Mcon/sec, 41.3265
procs, 16, 	units, 50, 	weights, 5000, 	cycles, 40000, 	con_trav, 2e+08, 	secs, 4.18, 	mpisecs, 4.17389, 	Mcon/sec, 47.8469
procs, 16, 	units, 55, 	weights, 6050, 	cycles, 40000, 	con_trav, 2.42e+08, 	secs, 4.27, 	mpisecs, 4.2727, 	Mcon/sec, 56.6745
procs, 16, 	units, 60, 	weights, 7200, 	cycles, 40000, 	con_trav, 2.88e+08, 	secs, 4.34, 	mpisecs, 4.34199, 	Mcon/sec, 66.3594
procs, 16, 	units, 65, 	weights, 8450, 	cycles, 40000, 	con_trav, 3.38e+08, 	secs, 4.47, 	mpisecs, 4.47221, 	Mcon/sec, 75.6152
procs, 16, 	units, 70, 	weights, 9800, 	cycles, 40000, 	con_trav, 3.92e+08, 	secs, 4.59, 	mpisecs, 4.59457, 	Mcon/sec, 85.4031
procs, 16, 	units, 75, 	weights, 11250, 	cycles, 40000, 	con_trav, 4.5e+08, 	secs, 4.68, 	mpisecs, 4.67446, 	Mcon/sec, 96.1538
procs, 16, 	units, 80, 	weights, 12800, 	cycles, 40000, 	con_trav, 5.12e+08, 	secs, 4.78, 	mpisecs, 4.7774, 	Mcon/sec, 107.113
procs, 16, 	units, 85, 	weights, 14450, 	cycles, 40000, 	con_trav, 5.78e+08, 	secs, 4.91, 	mpisecs, 4.9078, 	Mcon/sec, 117.719
procs, 16, 	units, 90, 	weights, 16200, 	cycles, 40000, 	con_trav, 6.48e+08, 	secs, 5.04, 	mpisecs, 5.04176, 	Mcon/sec, 128.571
procs, 16, 	units, 95, 	weights, 18050, 	cycles, 40000, 	con_trav, 7.22e+08, 	secs, 5.14, 	mpisecs, 5.13968, 	Mcon/sec, 140.467
procs, 16, 	units, 100, 	weights, 20000, 	cycles, 40000, 	con_trav, 8e+08, 	secs, 5.46, 	mpisecs, 5.45449, 	Mcon/sec, 146.52
procs, 16, 	units, 105, 	weights, 22050, 	cycles, 40000, 	con_trav, 8.82e+08, 	secs, 5.54, 	mpisecs, 5.54283, 	Mcon/sec, 159.206
procs, 16, 	units, 110, 	weights, 24200, 	cycles, 40000, 	con_trav, 9.68e+08, 	secs, 5.67, 	mpisecs, 5.67202, 	Mcon/sec, 170.723
procs, 16, 	units, 115, 	weights, 26450, 	cycles, 40000, 	con_trav, 1.058e+09, 	secs, 5.88, 	mpisecs, 5.88596, 	Mcon/sec, 179.932
procs, 16, 	units, 120, 	weights, 28800, 	cycles, 40000, 	con_trav, 1.152e+09, 	secs, 5.99, 	mpisecs, 5.98703, 	Mcon/sec, 192.321
procs, 16, 	units, 125, 	weights, 31250, 	cycles, 40000, 	con_trav, 1.25e+09, 	secs, 6.11, 	mpisecs, 6.10986, 	Mcon/sec, 204.583
procs, 16, 	units, 130, 	weights, 33800, 	cycles, 40000, 	con_trav, 1.352e+09, 	secs, 6.32, 	mpisecs, 6.32655, 	Mcon/sec, 213.924
procs, 16, 	units, 135, 	weights, 36450, 	cycles, 40000, 	con_trav, 1.458e+09, 	secs, 6.44, 	mpisecs, 6.43941, 	Mcon/sec, 226.398
procs, 16, 	units, 140, 	weights, 39200, 	cycles, 40000, 	con_trav, 1.568e+09, 	secs, 6.61, 	mpisecs, 6.60566, 	Mcon/sec, 237.216
procs, 16, 	units, 145, 	weights, 42050, 	cycles, 40000, 	con_trav, 1.682e+09, 	secs, 6.73, 	mpisecs, 6.73261, 	Mcon/sec, 249.926
procs, 16, 	units, 150, 	weights, 45000, 	cycles, 40000, 	con_trav, 1.8e+09, 	secs, 6.89, 	mpisecs, 6.89393, 	Mcon/sec, 261.248
procs, 16, 	units, 155, 	weights, 48050, 	cycles, 40000, 	con_trav, 1.922e+09, 	secs, 7.03, 	mpisecs, 7.03128, 	Mcon/sec, 273.4
procs, 16, 	units, 160, 	weights, 51200, 	cycles, 40000, 	con_trav, 2.048e+09, 	secs, 7.18, 	mpisecs, 7.18339, 	Mcon/sec, 285.237
procs, 16, 	units, 165, 	weights, 54450, 	cycles, 40000, 	con_trav, 2.178e+09, 	secs, 7.38, 	mpisecs, 7.38557, 	Mcon/sec, 295.122
procs, 16, 	units, 170, 	weights, 57800, 	cycles, 40000, 	con_trav, 2.312e+09, 	secs, 7.56, 	mpisecs, 7.55919, 	Mcon/sec, 305.82
procs, 16, 	units, 175, 	weights, 61250, 	cycles, 40000, 	con_trav, 2.45e+09, 	secs, 7.68, 	mpisecs, 7.68085, 	Mcon/sec, 319.01
procs, 16, 	units, 180, 	weights, 64800, 	cycles, 40000, 	con_trav, 2.592e+09, 	secs, 7.88, 	mpisecs, 7.87729, 	Mcon/sec, 328.934
procs, 16, 	units, 185, 	weights, 68450, 	cycles, 40000, 	con_trav, 2.738e+09, 	secs, 8.03, 	mpisecs, 8.02772, 	Mcon/sec, 340.971
procs, 16, 	units, 190, 	weights, 72200, 	cycles, 40000, 	con_trav, 2.888e+09, 	secs, 8.18, 	mpisecs, 8.18442, 	Mcon/sec, 353.056
procs, 16, 	units, 195, 	weights, 76050, 	cycles, 40000, 	con_trav, 3.042e+09, 	secs, 8.55, 	mpisecs, 8.54727, 	Mcon/sec, 355.789
procs, 16, 	units, 200, 	weights, 80000, 	cycles, 40000, 	con_trav, 3.2e+09, 	secs, 8.73, 	mpisecs, 8.73099, 	Mcon/sec, 366.552
procs, 16, 	units, 205, 	weights, 84050, 	cycles, 40000, 	con_trav, 3.362e+09, 	secs, 8.95, 	mpisecs, 8.94894, 	Mcon/sec, 375.642
procs, 16, 	units, 210, 	weights, 88200, 	cycles, 40000, 	con_trav, 3.528e+09, 	secs, 9.12, 	mpisecs, 9.11262, 	Mcon/sec, 386.842
procs, 16, 	units, 215, 	weights, 92450, 	cycles, 40000, 	con_trav, 3.698e+09, 	secs, 9.29, 	mpisecs, 9.28891, 	Mcon/sec, 398.062
procs, 16, 	units, 220, 	weights, 96800, 	cycles, 40000, 	con_trav, 3.872e+09, 	secs, 9.47, 	mpisecs, 9.47576, 	Mcon/sec, 408.87
procs, 16, 	units, 225, 	weights, 101250, 	cycles, 40000, 	con_trav, 4.05e+09, 	secs, 9.74, 	mpisecs, 9.74238, 	Mcon/sec, 415.811
procs, 16, 	units, 230, 	weights, 105800, 	cycles, 40000, 	con_trav, 4.232e+09, 	secs, 10.01, 	mpisecs, 10.0111, 	Mcon/sec, 422.777
procs, 16, 	units, 235, 	weights, 110450, 	cycles, 40000, 	con_trav, 4.418e+09, 	secs, 10.15, 	mpisecs, 10.1568, 	Mcon/sec, 435.271
procs, 16, 	units, 240, 	weights, 115200, 	cycles, 40000, 	con_trav, 4.608e+09, 	secs, 10.35, 	mpisecs, 10.3486, 	Mcon/sec, 445.217
procs, 16, 	units, 245, 	weights, 120050, 	cycles, 40000, 	con_trav, 4.802e+09, 	secs, 10.64, 	mpisecs, 10.6373, 	Mcon/sec, 451.316
