procs, 2,       units, 20,      weights, 800,   cycles, 40000,  con_trav, 3.2e+07,      secs, 0.99,     mpisecs, 0.996977,      Mcon/sec, 32.3232
procs, 2,       units, 25,      weights, 1250,  cycles, 40000,  con_trav, 5e+07,        secs, 1.33,     mpisecs, 1.33532,       Mcon/sec, 37.594
procs, 2,       units, 30,      weights, 1800,  cycles, 40000,  con_trav, 7.2e+07,      secs, 1.36,     mpisecs, 1.36746,       Mcon/sec, 52.9412
procs, 2,       units, 35,      weights, 2450,  cycles, 40000,  con_trav, 9.8e+07,      secs, 1.58,     mpisecs, 1.57803,       Mcon/sec, 62.0253
procs, 2,       units, 40,      weights, 3200,  cycles, 40000,  con_trav, 1.28e+08,     secs, 1.77,     mpisecs, 1.76558,       Mcon/sec, 72.3164
procs, 2,       units, 45,      weights, 4050,  cycles, 40000,  con_trav, 1.62e+08,     secs, 2,        mpisecs, 2.00241,       Mcon/sec, 81
procs, 2,       units, 50,      weights, 5000,  cycles, 40000,  con_trav, 2e+08,        secs, 2.28,     mpisecs, 2.27887,       Mcon/sec, 87.7193
procs, 2,       units, 55,      weights, 6050,  cycles, 40000,  con_trav, 2.42e+08,     secs, 2.63,     mpisecs, 2.63408,       Mcon/sec, 92.0152
procs, 2,       units, 60,      weights, 7200,  cycles, 40000,  con_trav, 2.88e+08,     secs, 2.9,      mpisecs, 2.89883,       Mcon/sec, 99.3103
procs, 2,       units, 65,      weights, 8450,  cycles, 40000,  con_trav, 3.38e+08,     secs, 3.24,     mpisecs, 3.23843,       Mcon/sec, 104.321
procs, 2,       units, 70,      weights, 9800,  cycles, 40000,  con_trav, 3.92e+08,     secs, 3.59,     mpisecs, 3.5851,        Mcon/sec, 109.192
procs, 2,       units, 75,      weights, 11250,         cycles, 40000,  con_trav, 4.5e+08,      secs, 4.03,     mpisecs, 4.03563,       Mcon/sec, 111.663
procs, 2,       units, 80,      weights, 12800,         cycles, 40000,  con_trav, 5.12e+08,     secs, 4.43,     mpisecs, 4.42727,       Mcon/sec, 115.576
procs, 2,       units, 85,      weights, 14450,         cycles, 40000,  con_trav, 5.78e+08,     secs, 4.83,     mpisecs, 4.8276,        Mcon/sec, 119.669
procs, 2,       units, 90,      weights, 16200,         cycles, 40000,  con_trav, 6.48e+08,     secs, 5.29,     mpisecs, 5.29163,       Mcon/sec, 122.495
procs, 2,       units, 95,      weights, 18050,         cycles, 40000,  con_trav, 7.22e+08,     secs, 5.86,     mpisecs, 5.85872,       Mcon/sec, 123.208
procs, 2,       units, 100,     weights, 20000,         cycles, 40000,  con_trav, 8e+08,        secs, 6.28,     mpisecs, 6.28177,       Mcon/sec, 127.389
procs, 2,       units, 105,     weights, 22050,         cycles, 40000,  con_trav, 8.82e+08,     secs, 6.84,     mpisecs, 6.83922,       Mcon/sec, 128.947
procs, 2,       units, 110,     weights, 24200,         cycles, 40000,  con_trav, 9.68e+08,     secs, 7.44,     mpisecs, 7.44518,       Mcon/sec, 130.108
procs, 2,       units, 115,     weights, 26450,         cycles, 40000,  con_trav, 1.058e+09,    secs, 8.07,     mpisecs, 8.06563,       Mcon/sec, 131.103
procs, 2,       units, 120,     weights, 28800,         cycles, 40000,  con_trav, 1.152e+09,    secs, 8.64,     mpisecs, 8.63593,       Mcon/sec, 133.333
