procs, 1,       units, 21,      weights, 882,   cycles, 40000,  con_trav, 3.528e+07,    secs, 0.37,     Mcon/sec, 95.3514
procs, 1,       units, 24,      weights, 1152,  cycles, 40000,  con_trav, 4.608e+07,    secs, 0.44,     Mcon/sec, 104.727
procs, 1,       units, 27,      weights, 1458,  cycles, 40000,  con_trav, 5.832e+07,    secs, 0.5,      Mcon/sec, 116.64
procs, 1,       units, 30,      weights, 1800,  cycles, 40000,  con_trav, 7.2e+07,      secs, 0.57,     Mcon/sec, 126.316
procs, 1,       units, 33,      weights, 2178,  cycles, 40000,  con_trav, 8.712e+07,    secs, 0.64,     Mcon/sec, 136.125
procs, 1,       units, 36,      weights, 2592,  cycles, 40000,  con_trav, 1.0368e+08,   secs, 0.74,     Mcon/sec, 140.108
procs, 1,       units, 39,      weights, 3042,  cycles, 40000,  con_trav, 1.2168e+08,   secs, 0.81,     Mcon/sec, 150.222
procs, 1,       units, 42,      weights, 3528,  cycles, 40000,  con_trav, 1.4112e+08,   secs, 0.9,      Mcon/sec, 156.8
procs, 1,       units, 45,      weights, 4050,  cycles, 40000,  con_trav, 1.62e+08,     secs, 1,        Mcon/sec, 162
procs, 1,       units, 48,      weights, 4608,  cycles, 40000,  con_trav, 1.8432e+08,   secs, 1.08,     Mcon/sec, 170.667
procs, 1,       units, 51,      weights, 5202,  cycles, 40000,  con_trav, 2.0808e+08,   secs, 1.17,     Mcon/sec, 177.846
procs, 1,       units, 54,      weights, 5832,  cycles, 40000,  con_trav, 2.3328e+08,   secs, 1.28,     Mcon/sec, 182.25
procs, 1,       units, 57,      weights, 6498,  cycles, 40000,  con_trav, 2.5992e+08,   secs, 1.39,     Mcon/sec, 186.993
procs, 1,       units, 60,      weights, 7200,  cycles, 40000,  con_trav, 2.88e+08,     secs, 1.48,     Mcon/sec, 194.595
procs, 1,       units, 63,      weights, 7938,  cycles, 40000,  con_trav, 3.1752e+08,   secs, 1.62,     Mcon/sec, 196
procs, 1,       units, 66,      weights, 8712,  cycles, 40000,  con_trav, 3.4848e+08,   secs, 1.75,     Mcon/sec, 199.131
procs, 1,       units, 69,      weights, 9522,  cycles, 40000,  con_trav, 3.8088e+08,   secs, 1.88,     Mcon/sec, 202.596
procs, 1,       units, 72,      weights, 10368,         cycles, 40000,  con_trav, 4.1472e+08,   secs, 1.97,     Mcon/sec, 210.518
procs, 1,       units, 75,      weights, 11250,         cycles, 40000,  con_trav, 4.5e+08,      secs, 2.07,     Mcon/sec, 217.391
procs, 1,       units, 78,      weights, 12168,         cycles, 40000,  con_trav, 4.8672e+08,   secs, 2.23,     Mcon/sec, 218.26
procs, 1,       units, 81,      weights, 13122,         cycles, 40000,  con_trav, 5.2488e+08,   secs, 2.38,     Mcon/sec, 220.538
procs, 1,       units, 84,      weights, 14112,         cycles, 40000,  con_trav, 5.6448e+08,   secs, 2.49,     Mcon/sec, 226.699
procs, 1,       units, 87,      weights, 15138,         cycles, 40000,  con_trav, 6.0552e+08,   secs, 2.68,     Mcon/sec, 225.94
procs, 1,       units, 90,      weights, 16200,         cycles, 40000,  con_trav, 6.48e+08,     secs, 2.81,     Mcon/sec, 230.605
procs, 1,       units, 93,      weights, 17298,         cycles, 40000,  con_trav, 6.9192e+08,   secs, 3,        Mcon/sec, 230.64
procs, 1,       units, 96,      weights, 18432,         cycles, 40000,  con_trav, 7.3728e+08,   secs, 3.11,     Mcon/sec, 237.068
procs, 1,       units, 99,      weights, 19602,         cycles, 40000,  con_trav, 7.8408e+08,   secs, 3.31,     Mcon/sec, 236.882
procs, 1,       units, 102,     weights, 20808,         cycles, 40000,  con_trav, 8.3232e+08,   secs, 3.48,     Mcon/sec, 239.172
procs, 1,       units, 105,     weights, 22050,         cycles, 40000,  con_trav, 8.82e+08,     secs, 3.64,     Mcon/sec, 242.308
procs, 1,       units, 108,     weights, 23328,         cycles, 40000,  con_trav, 9.3312e+08,   secs, 3.85,     Mcon/sec, 242.369
procs, 1,       units, 111,     weights, 24642,         cycles, 40000,  con_trav, 9.8568e+08,   secs, 4.04,     Mcon/sec, 243.98
procs, 1,       units, 114,     weights, 25992,         cycles, 40000,  con_trav, 1.03968e+09,  secs, 4.17,     Mcon/sec, 249.324
procs, 1,       units, 117,     weights, 27378,         cycles, 40000,  con_trav, 1.09512e+09,  secs, 4.41,     Mcon/sec, 248.327
procs, 1,       units, 120,     weights, 28800,         cycles, 40000,  con_trav, 1.152e+09,    secs, 4.59,     Mcon/sec, 250.98
procs, 1,       units, 123,     weights, 30258,         cycles, 40000,  con_trav, 1.21032e+09,  secs, 4.76,     Mcon/sec, 254.269
procs, 1,       units, 126,     weights, 31752,         cycles, 40000,  con_trav, 1.27008e+09,  secs, 4.93,     Mcon/sec, 257.623
procs, 1,       units, 129,     weights, 33282,         cycles, 40000,  con_trav, 1.33128e+09,  secs, 5.16,     Mcon/sec, 258
procs, 1,       units, 132,     weights, 34848,         cycles, 40000,  con_trav, 1.39392e+09,  secs, 5.5,      Mcon/sec, 253.44
procs, 1,       units, 135,     weights, 36450,         cycles, 40000,  con_trav, 1.458e+09,    secs, 5.58,     Mcon/sec, 261.29
procs, 1,       units, 138,     weights, 38088,         cycles, 40000,  con_trav, 1.52352e+09,  secs, 5.78,     Mcon/sec, 263.585
procs, 1,       units, 141,     weights, 39762,         cycles, 40000,  con_trav, 1.59048e+09,  secs, 5.99,     Mcon/sec, 265.523
procs, 1,       units, 144,     weights, 41472,         cycles, 40000,  con_trav, 1.65888e+09,  secs, 6.45,     Mcon/sec, 257.191
procs, 1,       units, 147,     weights, 43218,         cycles, 40000,  con_trav, 1.72872e+09,  secs, 6.53,     Mcon/sec, 264.735
procs, 1,       units, 150,     weights, 45000,         cycles, 40000,  con_trav, 1.8e+09,      secs, 6.82,     Mcon/sec, 263.93
procs, 1,       units, 153,     weights, 46818,         cycles, 40000,  con_trav, 1.87272e+09,  secs, 8.46,     Mcon/sec, 221.362
procs, 1,       units, 156,     weights, 48672,         cycles, 40000,  con_trav, 1.94688e+09,  secs, 8.51,     Mcon/sec, 228.776
procs, 1,       units, 159,     weights, 50562,         cycles, 40000,  con_trav, 2.02248e+09,  secs, 7.62,     Mcon/sec, 265.417
procs, 1,       units, 162,     weights, 52488,         cycles, 40000,  con_trav, 2.09952e+09,  secs, 12.12,    Mcon/sec, 173.228
procs, 1,       units, 165,     weights, 54450,         cycles, 40000,  con_trav, 2.178e+09,    secs, 8.19,     Mcon/sec, 265.934
procs, 1,       units, 168,     weights, 56448,         cycles, 40000,  con_trav, 2.25792e+09,  secs, 11.68,    Mcon/sec, 193.315
procs, 1,       units, 171,     weights, 58482,         cycles, 40000,  con_trav, 2.33928e+09,  secs, 9.46,     Mcon/sec, 247.281
procs, 1,       units, 174,     weights, 60552,         cycles, 40000,  con_trav, 2.42208e+09,  secs, 11.44,    Mcon/sec, 211.72
procs, 1,       units, 177,     weights, 62658,         cycles, 40000,  con_trav, 2.50632e+09,  secs, 12.84,    Mcon/sec, 195.196
procs, 1,       units, 180,     weights, 64800,         cycles, 40000,  con_trav, 2.592e+09,    secs, 15.28,    Mcon/sec, 169.634
procs, 1,       units, 183,     weights, 66978,         cycles, 40000,  con_trav, 2.67912e+09,  secs, 15.74,    Mcon/sec, 170.211
procs, 1,       units, 186,     weights, 69192,         cycles, 40000,  con_trav, 2.76768e+09,  secs, 18.47,    Mcon/sec, 149.847
procs, 1,       units, 189,     weights, 71442,         cycles, 40000,  con_trav, 2.85768e+09,  secs, 22.72,    Mcon/sec, 125.778
procs, 1,       units, 192,     weights, 73728,         cycles, 40000,  con_trav, 2.94912e+09,  secs, 19.97,    Mcon/sec, 147.678
procs, 1,       units, 195,     weights, 76050,         cycles, 40000,  con_trav, 3.042e+09,    secs, 25.04,    Mcon/sec, 121.486
procs, 1,       units, 198,     weights, 78408,         cycles, 40000,  con_trav, 3.13632e+09,  secs, 27.82,    Mcon/sec, 112.736
procs, 1,       units, 201,     weights, 80802,         cycles, 40000,  con_trav, 3.23208e+09,  secs, 29.68,    Mcon/sec, 108.898
procs, 1,       units, 204,     weights, 83232,         cycles, 40000,  con_trav, 3.32928e+09,  secs, 31.89,    Mcon/sec, 104.399
procs, 1,       units, 207,     weights, 85698,         cycles, 40000,  con_trav, 3.42792e+09,  secs, 36.71,    Mcon/sec, 93.3784
procs, 1,       units, 210,     weights, 88200,         cycles, 40000,  con_trav, 3.528e+09,    secs, 37.73,    Mcon/sec, 93.5065
procs, 1,       units, 213,     weights, 90738,         cycles, 40000,  con_trav, 3.62952e+09,  secs, 41.83,    Mcon/sec, 86.7683
procs, 1,       units, 216,     weights, 93312,         cycles, 40000,  con_trav, 3.73248e+09,  secs, 43.34,    Mcon/sec, 86.1209
procs, 1,       units, 219,     weights, 95922,         cycles, 40000,  con_trav, 3.83688e+09,  secs, 48.3,     Mcon/sec, 79.4385
procs, 1,       units, 222,     weights, 98568,         cycles, 40000,  con_trav, 3.94272e+09,  secs, 51.48,    Mcon/sec, 76.5874
