"procs",1,"       units",50,"      weights",5000,"  cycles",400000,"         con_trav",2000000000,"        secs",14.551,"       Mcon/sec",137.448,,
"procs",2,"       units",50,"      weights",5000,"  cycles",400000,"         con_trav",2000000000,"        secs",12.648,"       Mcon/sec",158.128,1.15045690006402,1.15045690006402
"procs",4,"       units",50,"      weights",5000,"  cycles",400000,"         con_trav",2000000000,"        secs",13.89,"       Mcon/sec",143.988,1.04758163087131,1.04758163087131
"procs",8,"       units",50,"      weights",5000,"  cycles",400000,"         con_trav",2000000000,"        secs",13.62,"       Mcon/sec",146.843,1.06835312263547,1.06835312263547
,,,,,,,,,,,,,,,
"procs",1,"       units",100,"     weights",20000," cycles",100000,"         con_trav",2000000000,"        secs",13.148,"       Mcon/sec",152.114,1.10670217100285,1.10670217100285
"procs",2,"       units",100,"     weights",20000," cycles",100000,"         con_trav",2000000000,"        secs",7.963,"       Mcon/sec",251.162,1.65114322153122,1.82732378790524
"procs",4,"       units",100,"     weights",20000," cycles",100000,"         con_trav",2000000000,"        secs",5.866,"       Mcon/sec",340.948,2.24139789894421,2.48055992084279
"procs",8,"       units",100,"     weights",20000," cycles",100000,"         con_trav",2000000000,"        secs",7.33,"       Mcon/sec",272.851,1.79372707311622,1.98512164600431
,,,,,,,,,,,,,,,
"procs",1,"       units",500,"     weights",500000,"cycles",4000,"   con_trav",2000000000,"        secs",47.485,"       Mcon/sec",42.1186,0.306432978289971,0.306432978289971
"procs",2,"       units",500,"     weights",500000,"cycles",4000,"   con_trav",2000000000,"        secs",22.859,"       Mcon/sec",87.4929,2.07729839073473,0.63655273266981
"procs",4,"       units",500,"     weights",500000,"cycles",4000,"   con_trav",2000000000,"        secs",4.456,"       Mcon/sec",448.833,10.6564083326606,3.26547494325127
"procs",8,"       units",500,"     weights",500000,"cycles",4000,"   con_trav",2000000000,"        secs",1.939,"       Mcon/sec",1031.46,24.4894179768558,7.5043652872359
,,,,,,,,,,,,,,,
"procs",1,"       units",1000,"    weights",2000000," cycles",1000,"   con_trav",2000000000,"        secs",47.835,"       Mcon/sec",41.8104,0.304190675746464,0.304190675746464
"procs",2,"       units",1000,"    weights",2000000," cycles",1000,"   con_trav",2000000000,"        secs",24.582,"       Mcon/sec",81.3603,1.94593450433385,0.591935131831674
"procs",4,"       units",1000,"    weights",2000000," cycles",1000,"   con_trav",2000000000,"        secs",12.452,"       Mcon/sec",160.617,3.84155616784341,1.16856556661428
"procs",8,"       units",1000,"    weights",2000000," cycles",1000,"   con_trav",2000000000,"        secs",3.784,"       Mcon/sec",528.541,12.6413763082869,3.84538880158314
,,,,,,,,,,,,,,,
"procs",1,"       units",5000,"    weights",50000000," cycles",40,"     con_trav",2000000000,"        secs",67.086,"       Mcon/sec",29.8125,0.216900209533787,0.216900209533787
"procs",2,"       units",5000,"    weights",50000000," cycles",40,"     con_trav",2000000000,"        secs",34.016,"       Mcon/sec",58.7959,1.97218951781971,0.427768319655433
"procs",4,"       units",5000,"    weights",50000000," cycles",40,"     con_trav",2000000000,"        secs",17.126,"        Mcon/sec",116.782,3.91721593291405,0.849644956638147
"procs",8,"       units",5000,"    weights",50000000," cycles",40,"     con_trav",2000000000,"        secs",8.715,"       Mcon/sec",229.489,7.69774423480084,1.66964233746581
