Epoch_0_H:	|epoch	avg_sum_se	
Epoch_0_D:	0	0.508671	
Epoch_0_D:	1	0.612201	
Epoch_0_D:	2	0.663522	
Epoch_0_D:	3	0.662777	
Epoch_0_D:	4	0.660071	
Epoch_0_D:	5	0.659596	
Epoch_0_D:	6	0.659762	
Epoch_0_D:	7	0.659887	
Epoch_0_D:	8	0.659903	
Epoch_0_D:	9	0.659843	
Epoch_0_D:	10	0.695704	
Epoch_0_D:	11	0.703922	
Epoch_0_D:	12	0.700064	
Epoch_0_D:	13	0.69383		
Epoch_0_D:	14	0.689211	
Epoch_0_D:	15	0.686574	
Epoch_0_D:	16	0.68527		
Epoch_0_D:	17	0.684621	
Epoch_0_D:	18	0.68421		
Epoch_0_D:	19	0.683847	
Epoch_0_D:	20	0.677846	
Epoch_0_D:	21	0.667657	
Epoch_0_D:	22	0.662005	
Epoch_0_D:	23	0.661362	
Epoch_0_D:	24	0.661832	
Epoch_0_D:	25	0.661815	
Epoch_0_D:	26	0.661358	
Epoch_0_D:	27	0.660671	
Epoch_0_D:	28	0.65983		
Epoch_0_D:	29	0.65885		
Epoch_0_D:	30	0.689355	
Epoch_0_D:	31	0.695234	
Epoch_0_D:	32	0.689899	
Epoch_0_D:	33	0.682083	
Epoch_0_D:	34	0.676901	
Epoch_0_D:	35	0.674102	
Epoch_0_D:	36	0.672183	
Epoch_0_D:	37	0.670282	
Epoch_0_D:	38	0.668146	
Epoch_0_D:	39	0.665737	
Epoch_0_D:	40	0.665422	
Epoch_0_D:	41	0.656887	
Epoch_0_D:	42	0.650387	
Epoch_0_D:	43	0.646399	
Epoch_0_D:	44	0.642965	
Epoch_0_D:	45	0.639173	
Epoch_0_D:	46	0.634926	
Epoch_0_D:	47	0.630306	
Epoch_0_D:	48	0.625376	
Epoch_0_D:	49	0.620179	
Epoch_0_D:	50	0.621517	
Epoch_0_D:	51	0.618283	
Epoch_0_D:	52	0.613114	
Epoch_0_D:	53	0.607581	
Epoch_0_D:	54	0.602348	
Epoch_0_D:	55	0.597316	
Epoch_0_D:	56	0.592384	
Epoch_0_D:	57	0.587531	
Epoch_0_D:	58	0.582764	
Epoch_0_D:	59	0.578093	
Epoch_0_D:	60	0.572106	
Epoch_0_D:	61	0.563114	
Epoch_0_D:	62	0.55678		
Epoch_0_D:	63	0.551494	
Epoch_0_D:	64	0.546841	
Epoch_0_D:	65	0.542625	
Epoch_0_D:	66	0.538683	
Epoch_0_D:	67	0.534923	
Epoch_0_D:	68	0.531313	
Epoch_0_D:	69	0.527844	
Epoch_0_D:	70	0.549851	
Epoch_0_D:	71	0.540865	
Epoch_0_D:	72	0.534647	
Epoch_0_D:	73	0.530036	
Epoch_0_D:	74	0.526439	
Epoch_0_D:	75	0.522924	
Epoch_0_D:	76	0.519431	
Epoch_0_D:	77	0.516045	
Epoch_0_D:	78	0.512796	
Epoch_0_D:	79	0.509693	
Epoch_0_D:	80	0.499545	
Epoch_0_D:	81	0.493776	
Epoch_0_D:	82	0.493635	
Epoch_0_D:	83	0.492509	
Epoch_0_D:	84	0.490967	
Epoch_0_D:	85	0.489564	
Epoch_0_D:	86	0.489712	
Epoch_0_D:	87	0.489104	
Epoch_0_D:	88	0.487897	
Epoch_0_D:	89	0.486717	
Epoch_0_D:	90	0.493157	
Epoch_0_D:	91	0.480815	
Epoch_0_D:	92	0.475299	
Epoch_0_D:	93	0.470145	
Epoch_0_D:	94	0.468938	
Epoch_0_D:	95	0.467255	
Epoch_0_D:	96	0.464576	
Epoch_0_D:	97	0.463916	
Epoch_0_D:	98	0.463257	
Epoch_0_D:	99	0.462595	
Epoch_0_D:	100	0.512628	
Epoch_0_D:	101	0.492938	
Epoch_0_D:	102	0.494289	
Epoch_0_D:	103	0.494152	
Epoch_0_D:	104	0.493496	
Epoch_0_D:	105	0.492641	
Epoch_0_D:	106	0.491723	
Epoch_0_D:	107	0.490794	
Epoch_0_D:	108	0.489867	
Epoch_0_D:	109	0.488954	
Epoch_0_D:	110	0.492113	
Epoch_0_D:	111	0.469735	
Epoch_0_D:	112	0.463166	
Epoch_0_D:	113	0.460529	
Epoch_0_D:	114	0.45811		
Epoch_0_D:	115	0.455786	
Epoch_0_D:	116	0.45367		
Epoch_0_D:	117	0.451728	
Epoch_0_D:	118	0.450215	
Epoch_0_D:	119	0.443629	
Epoch_0_D:	120	0.487491	
Epoch_0_D:	121	0.495843	
